VideoID,Title,Transcript
oh5p5f5_-7A,Bob Ross - A Walk in the Woods (Season 1 Episode 1),
RInDWhYceLU,Bob Ross - Mt. McKinley (Season 1 Episode 2),
UOziR7PoVco,Bob Ross - Ebony Sunset (Season 1 Episode 3),
0pwoixRikn4,Bob Ross - Winter Mist (Season 1 Episode 4),
DFSIQNjKRfk,Bob Ross - Quiet Stream (Season 1 Episode 5),
loAzRUzx1wI,Bob Ross - Winter Moon (Season 1 Episode 6),
sDdpc8uisD0,Bob Ross - Autumn Mountain (Season 1 Episode 7),
kQlFwTOkYzg,Bob Ross - Peaceful Valley (Season 1 Episode 8),
QxcS7p1VHyQ,Bob Ross - Seascape (Season 1 Episode 9),
wDnLlywAL5I,Bob Ross - Mountain Lake (Season 1 Episode 10),
Q03YvknOVe0,Bob Ross - Winter Glow (Season 1 Episode 11),
4E35-8x_y04,Bob Ross - Snow Fall (Season 1 Episode 12),
IEQWfszfRlA,Bob Ross - Final Reflections (Season 1 Episode 13),
